id,rating,tournaments,champions,championNext
1,855,6,6,1
3,2540,0,0,1
4,2477,0,0,1
5,1149,0,0,0
6,1502,1,0,0
7,2827,1,0,1
8,628,0,2,1
9,2509,1,0,0
10,1712,0,0,1
11,1027,0,0,0
12,2604,0,1,1
13,2376,0,0,1
14,2136,0,0,1
15,1003,0,0,1
16,2517,0,0,1
17,1426,0,0,1
18,1798,1,0,0
19,2943,0,0,1
20,2428,0,0,1
21,2061,0,1,1
22,1916,0,0,1
23,1930,0,1,1
24,2992,0,0,1
25,2763,0,0,1
26,2752,0,0,1
27,1803,1,0,0
28,930,0,0,0
29,1578,0,0,1
30,582,0,0,1
31,707,0,0,1
32,1939,0,0,1
33,723,0,1,0
34,591,0,1,0
35,2173,0,0,1
36,1225,0,0,0
37,565,0,0,0
38,761,0,0,0
39,2961,1,1,1
40,1450,0,0,1
41,1139,1,0,0
42,1111,0,0,0
43,2740,0,0,1
44,2483,0,0,0
45,992,0,0,0
46,1275,0,0,0
47,1118,1,0,0
48,1700,1,0,0
49,1197,0,0,1
50,981,1,0,0
51,1716,0,0,1
52,743,0,0,0
53,2847,0,1,1
54,2102,0,0,1
55,889,1,0,0
56,906,0,0,0
57,1889,0,0,1
58,2915,0,0,1
59,1271,0,0,0
60,1553,1,0,1
61,1288,1,0,1
62,508,0,0,0
63,1025,0,0,0
64,2843,0,0,1
65,877,0,0,0
66,2543,0,0,1
67,2007,0,0,1
68,1846,0,0,0
69,2309,1,1,1
70,1346,0,1,1
71,2168,1,0,1
72,2380,1,0,1
73,1914,0,0,0
74,2088,0,0,1
75,2313,0,0,1
76,652,0,1,0
77,2708,0,1,1
78,902,0,0,0
79,834,0,0,0
80,715,1,0,0
81,2145,0,0,0
82,2272,0,0,1
83,431,0,0,0
84,1528,0,0,1
85,1030,0,0,0
86,2248,1,0,1
87,485,0,1,0
88,981,1,0,0
89,1952,1,0,1
90,2263,0,0,1
91,1091,0,0,0
92,696,0,0,0
93,2041,2,0,0
94,2542,0,0,1
95,1351,0,0,0
96,1809,0,1,1
97,1565,0,0,0
98,1626,0,0,1
99,1047,0,0,0
100,2953,0,0,1
101,1297,3,0,0
102,1112,0,0,1
103,2750,0,0,1
104,2898,1,1,1
105,1108,0,0,0
106,2679,0,1,1
107,850,0,0,1
108,2870,0,0,1
109,746,0,0,0
110,984,3,3,0
111,1660,0,1,1
112,1717,0,1,1
